0,250
1,42
2,245
3,34
4,14
5,63
6,251
7,60
8,111
9,263
10,211
11,22
12,79
13,214
14,155
15,99
16,247
17,286
18,300
19,242
20,310
21,146
22,119
23,282
24,150
25,294
26,65
27,221
28,62
29,268
30,100
31,222
32,314
33,109
34,199
35,265
36,276
37,194
38,69
39,189
40,124
41,169
42,108
43,49
44,304
45,171
46,228
47,312
48,239
49,126
50,140
51,204
52,94
53,123
54,110
55,163
56,6
57,255
58,278
59,23
60,84
61,70
62,205
63,298
64,21
65,220
66,295
67,149
68,93
69,47
70,24
71,139
72,80
73,30
74,225
75,29
76,120
77,55
78,264
79,244
80,31
81,11
82,43
83,306
84,305
85,5
86,156
87,313
88,38
89,26
90,95
91,76
92,72
93,85
94,144
95,32
96,141
97,154
98,78
99,252
100,261
101,193
102,249
103,157
104,296
105,185
106,13
107,1
108,131
109,41
110,229
111,270
112,58
113,209
114,281
115,243
116,87
117,260
118,107
119,50
120,231
121,177
122,97
123,117
124,36
125,113
126,303
127,212
128,283
129,292
130,159
131,68
132,33
133,125
134,89
135,127
136,51
137,142
138,137
139,133
140,161
141,241
142,227
143,112
144,219
145,301
146,232
147,147
148,202
149,129
150,59
151,284
152,210
153,27
154,183
155,158
156,316
157,10
158,19
159,64
160,166
161,308
162,215
163,178
164,182
165,302
166,71
167,216
168,190
169,25
170,176
171,307
172,83
173,203
174,233
175,217
176,106
177,105
178,56
179,179
180,226
181,240
182,101
183,152
184,248
185,61
186,297
187,272
188,269
189,258
190,153
191,180
192,192
193,8
194,184
195,2
196,74
197,206
198,57
199,54
200,279
201,288
202,12
203,52
204,277
205,96
206,198
207,315
208,165
209,86
210,287
211,143
212,39
213,293
214,311
215,254
